# 常在寺 画像分類マニフェスト
# 元ファイル名	分類	スラッグ	説明
DSC_0863.jpg	B	gaikan-01	塀と本堂屋根（南側）
DSC_0873.jpg	B	sanmon-01	山門と寺号標
DSC_0874.jpg	B	hondo-yane-01	本堂 破風
DSC_0876.jpg	B	onigawara-02	鬼瓦と新緑
DSC_0914.jpg	B	kishimojin-01	鬼子母神堂 内陣・提灯
DSC_0917.jpg	D2	homotsu-shojirinne-01	生死輪廻図 全図
DSC_0918.jpg	D2	homotsu-shojirinne-02	生死輪廻図 部分
DSC_0922.jpg	B	ihaido-01	位牌堂 内部
DSC_0924.jpg	B	ihaidan-01	位牌壇 荘厳
DSC_0931.jpg	D2	homotsu-soshizo-01	祖師像（額装）
DSC_0934.jpg	B	shogon-01	厨子と仏花・常花
DSC_0935.jpg	B	shogon-02	同（別角度）
DSC_0938.jpg	B	chokoku-ryu-01	龍の彫刻（欄間）
DSC_0941.jpg	D2	homotsu-zushi-01	金の厨子
DSC_0945.jpg	B	kaiundono-01	開運殿 内部 正面
DSC_0949.jpg	B	kaiundono-02	開運殿 扁額と堂内
DSC_0953.jpg	B	kumimono-01	軒下の組物
DSC_0956.jpg	B	ihaidan-02	位牌壇・供物
DSC_0960.jpg	B	ihaidan-03	位牌壇（別角度）
DSC_0962.jpg	B	shogon-04	法具（近接）
DSC_0963.jpg	B	shogon-03	仏花と燭台
DSC_0965.jpg	D2	homotsu-kyobako-01	経箱（朱塗）
DSC_0967.jpg	B	shogon-06	厨子の並ぶ棚
DSC_0971.jpg	B	shogon-05	打敷（近接）
DSC_0975.jpg	B	naijin-01	内陣 正面（縦）
DSC_0976.jpg	A	hero-naijin-03	本堂内 通路から内陣（横）
DSC_0977.jpg	A	hero-naijin-02	本堂内陣 正面全景（横）
DSC_0979.jpg	B	ihaidan-04	位牌壇と供物
DSC_0984.jpg	C	priest-01	庫裏で机に向かう僧侶（後ろ姿・顔なし）★新規
DSC_0991.jpg	C	goshudai-te-01	御首題を書く手元
DSC_0995.jpg	C	goshudai-te-02	御首題を書く手元
DSC_0999.jpg	C	goshudai-te-03	御首題を書く手元
DSC_1004.jpg	C	goshudai-te-04	御首題を書く手元
DSC_1012.jpg	C	goshudai-te-05	御首題を書く手元
DSC_1018.jpg	C	goshudai-te-06	御首題を書く手元
DSC_1020.jpg	C	goshudai-te-07	御首題を書く手元（後ろ姿）
DSC_1024.jpg	C	goshudai-te-08	御首題を書く手元
DSC_1033.jpg	C	goshudai-te-09	御首題を書く手元
DSC_1034.jpg	D2	homotsu-soshi-zushi-01	祖師像 厨子
DSC_1036.jpg	D2	homotsu-soshi-zushi-02	祖師像 厨子 正面
DSC_1037.jpg	D2	homotsu-butsuga-01	仏画（壁画）
DSC_1038.jpg	B	naijin-02	内陣 荘厳（縦）
DSC_1042.jpg	B	toro-tsuri-01	金の吊り灯籠
DSC_1043.jpg	B	naijin-03	内陣 中央（縦）
DSC_1044.jpg	D2	homotsu-butsuga-02	仏画（壁画）
DSC_1045.jpg	D2	homotsu-butsuga-03	天蓋・瓔珞と仏画
DSC_1047.jpg	B	tenjo-01	天井・虹梁の彩色
DSC_1048.jpg	D2	homotsu-bosatsu-01	ガラスケースの菩薩立像
DSC_1051.jpg	D2	homotsu-butsuzo-01	厨子内の仏像
DSC_1052.jpg	D2	homotsu-butsuzo-02	厨子内の仏像
DSC_1056.jpg	D2	homotsu-butsuzo-03	厨子内の仏像（金地）
DSC_1057.jpg	D2	homotsu-gohojin-01	護法神像
DSC_1061.jpg	D2	homotsu-ihai-01	大型位牌
DSC_1064.jpg	B	waniguchi-01	朱の柱と鰐口
DSC_1065.jpg	A	hero-naijin-01	内陣全景・金の常花（横）
DSC_1071.jpg	B	naijin-04	内陣 宮殿
DSC_1072.jpg	B	ren-01	柱の聯
DSC_1073.jpg	B	ren-02	柱の聯（別）
DSC_1074.jpg	B	tengai-01	朱の幕と天蓋
DSC_1079.jpg	D2	homotsu-tokkuri-01	「道三」徳利と盃
DSC_1081.jpg	D2	homotsu-tokkuri-02	「道三」徳利と盃
DSC_1082.jpg	D2	homotsu-tokkuri-03	「道三」徳利と盃
DSC_1083.jpg	D2	homotsu-tenji-01	展示ケース（古文書）
DSC_1086.jpg	B	sekihi-dosan-kuyo-01	斎藤道三公供養碑
DSC_1094.jpg	B	hana-mukuge-01	木槿の花
DSC_1110.jpg	B	hokora-01	境内の小祠
DSC_1115.jpg	B	kumimono-02	木鼻・組物（彩色）
DSC_1116.jpg	B	sekihi-dosan-michi-01	「斎藤道三公墳」道標
DSC_1117.jpg	-	-	墓地 全景／回答5により不使用
DSC_1120.jpg	-	-	墓地（樹木）／回答5により不使用
DSC_1121.jpg	-	-	墓地（樹木）／回答5により不使用
DSC_1125.jpg	-	-	石段と墓域／回答5により不使用
DSC_1132.jpg	B	goshibo-01	合祀墓（白い石塔）※要確認
DSC_1135.jpg	B	hondo-yane-02	本堂 破風（横）
DSC_1140.jpg	B	hondo-yane-03	本堂 屋根
DSC_1143.jpg	B	hondo-yane-04	屋根 妻壁
DSC_1144.jpg	B	hondo-yane-05	屋根と空（縦）
DSC_1145.jpg	B	sekihi-jigo-01	寺号標「斎藤家菩提所 常在寺」
DSC_1146.jpg	D1	setsumeiban-01	文化財説明板 ※重文2点の複写が写る
DSC_1147.jpg	B	mon-gosan-kiri-01	五三桐紋（扉）
DSC_1151.jpg	B	sekihi-daimoku-01	題目碑
DSC_1154.jpg	B	yane-toro-01	屋根と石灯籠・新緑
DSC_1156.jpg	B	sekihi-daimoku-02	石の題目碑
DSC_1160.jpg	B	hondo-gaikan-03	屋根越しの境内
DSC_1162.jpg	B	kinkazan-01	緑越しの金華山・岐阜城
DSC_1164.jpg	B	hondo-yane-06	屋根の重なり
DSC_1167.jpg	B	hana-shiro-01	白い小花
DSC_1168.jpg	B	hana-sarusuberi-01	サルスベリの白花
DSC_1172.jpg	B	sanmon-02	山門から本堂を望む
DSC_1178.jpg	B	hondo-gaikan-01	本堂 妻側外観
DSC_1180.jpg	B	keiji-haikan-01	拝観案内の掲示
DSC_1181.jpg	B	ranma-01	木彫の額（欄間）
DSC_1182.jpg	B	hansho-01	半鐘と三つ巴
DSC_1185.jpg	B	mon-tsuyo-01	通用門（黒門）と庭
DSC_1189.jpg	B	yane-midori-01	屋根と枝垂れの緑
DSC_1190.jpg	B	yane-midori-02	屋根と庭木
DSC_1191.jpg	B	onigawara-01	鬼瓦・軒先
DSC_1194.jpg	B	hana-shiro-02	白い花
DSC_1196.jpg	B	hondo-gaikan-02	庭園と本堂
DSC_1201.jpg	D2	homotsu-shojirinne-03	生死輪廻図（額装・室内展示）
128234.jpg	B	kisetsu-natsu-01	沙羅（夏椿）と本堂
IMG_6767.jpeg	B	omamori-monju-01	文殊菩薩 御守★新規
IMG_6768.jpeg	B	chochin-01	堂内の大提灯★新規
IMG_6769.jpeg	D2	homotsu-monju-fuda-01	文殊菩薩の由緒木札★新規
お会式法要.jpg	B	gyoji-eshiki-01	内陣・お会式桜の飾り（人物なし）
冬 金華山.jpg	B	kisetsu-fuyu-02	雪の金華山と屋根
冬.jpg	B	kisetsu-fuyu-01	雪の境内
春 桜と蝋梅.jpg	B	kisetsu-haru-02	枝垂れ桜と蝋梅
春.jpg	B	kisetsu-haru-01	桜と本堂の屋根
秋 金華山.jpg	B	kisetsu-aki-01	紅葉の金華山と岐阜城
道三画像.JPG	D1	kenpon-dosan	絹本著色斎藤道三像★新規
義龍画像.jpg	D1	kenpon-yoshitatsu	絹本著色斎藤義龍像★新規
花まつり.jpg	-	-	参列者の顔／回答6により不使用
お墓の指示図.jpg	-	-	PC画面の撮影（施主指示）
文化財の指示図.jpg	-	-	PC画面の撮影（施主指示）
開運殿指示図.jpg	-	-	PC画面の撮影（施主指示）
画像の名前指示図.jpg	-	-	PC画面の撮影（施主指示）
ページイメージ.jpg	-	-	ラフ2
ページイメージ2.jpg	-	-	ラフ1
常在寺_20260801.zip	-	-	DSC 102点のアーカイブ
